,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,mapIds
ENSMUSG00000000001,3270.61238870773,0.12559773833154,0.114127775576597,1.10050106292701,0.271113866756223,0.874069385107325,Gnai3
ENSMUSG00000000003,0,NA,NA,NA,NA,NA,Pbsn
ENSMUSG00000000028,232.841262129522,0.212426247938633,0.229833305306674,0.924262250221679,0.355349792051093,0.918523306480994,Cdc45
ENSMUSG00000000031,6.04810680223703,2.53546919582399,1.40114138249402,1.80957412828024,0.0703618550170942,0.633974050640505,H19
ENSMUSG00000000037,23.4426548433652,-0.25073477506992,0.51130826329226,-0.490378883093862,0.623865816675894,0.970920819480493,Scml2
ENSMUSG00000000049,3.0555299472827,0.0719340957146499,1.67326216859523,0.0429903317392526,0.965709240884165,NA,Apoh
ENSMUSG00000000056,871.465740625658,0.181352824927878,0.144356406229526,1.2562852571955,0.209012565147859,0.828066761769927,Narf
ENSMUSG00000000058,171.118576844897,0.13701234265556,0.244925312218495,0.559404585073399,0.575885632896014,0.966460595871283,Cav2
ENSMUSG00000000078,2232.59204530583,-0.561884525744361,0.168960906256149,-3.3255297819753,0.000882506715211433,0.0666070176900546,Klf6
ENSMUSG00000000085,991.376161817786,0.0186841106856394,0.153965965179054,0.121352213548694,0.903412065130054,0.995092230058239,Scmh1
ENSMUSG00000000088,4073.54931568638,-0.137917305594061,0.265319284950812,-0.519816362461665,0.603191573818855,0.96996851415462,Cox5a
ENSMUSG00000000093,7.05469139003243,-1.07872633019438,1.02313724603506,-1.05433199150431,0.291730946841944,0.887532486540476,Tbx2
ENSMUSG00000000094,0,NA,NA,NA,NA,NA,Tbx4
ENSMUSG00000000103,0,NA,NA,NA,NA,NA,Zfy2
ENSMUSG00000000120,1.00896449853643,-0.768576319886895,4.11597397531833,-0.186730121350549,0.851872238040763,NA,Ngfr
ENSMUSG00000000125,2.2929854335237,1.19201741530402,1.78137737554866,0.669154908817048,0.503396666561789,NA,Wnt3
ENSMUSG00000000126,1.0378782581953,2.42676708247631,2.95479100606728,0.821299062266419,0.411475941717724,NA,Wnt9a
ENSMUSG00000000127,225.854731316523,0.163753518757089,0.177922699360793,0.920363277678409,0.357382951991106,0.919311889921602,Fer
ENSMUSG00000000131,1197.20856314333,-0.0939218672631786,0.134888649537043,-0.696291849503513,0.486246076414152,0.946332316629821,Xpo6
ENSMUSG00000000134,522.495894730287,-0.18298778455432,0.164900266819052,-1.10968761957866,0.267133659646169,0.86961963993878,Tfe3
ENSMUSG00000000142,589.949514730056,-0.30722557845216,0.201125319528003,-1.52753307824768,0.126628508364115,0.743813599537794,Axin2
ENSMUSG00000000148,293.150170707292,0.165020450768008,0.175837599752706,0.938482161949941,0.347996679835932,0.914537105425109,Brat1
ENSMUSG00000000149,411.838628271144,0.118000781040578,0.212903414171816,0.554245602399548,0.579410773043229,0.967159888926305,Gna12
ENSMUSG00000000154,2197.76585228362,-0.118493370755683,0.16531369775641,-0.716778901953325,0.473510531843124,0.942355628861205,Slc22a18
