"gene_id","D1","D3","Z3","MP2","Z1","Z2","MS1","MP1","D7","D9","ZH2","D4","D5","D6"
"ENSMUSG00000003123",254,264,205,172,198,103,234,234,217,210,268,132,136,181
"ENSMUSG00000003131",1681,1270,811,642,1555,1301,1915,1284,1352,1567,1700,1431,1482,1428
"ENSMUSG00000003134",451,396,203,197,399,212,383,288,315,270,288,257,259,253
"ENSMUSG00000003135",839,731,490,314,792,462,813,404,631,669,742,463,586,533
"ENSMUSG00000003153",13,3,0,2,10,0,12,21,11,7,14,3,12,15
"ENSMUSG00000003154",754,657,214,120,573,472,579,401,545,644,634,428,504,420
"ENSMUSG00000003161",9663,9059,4799,3071,7927,5366,7548,6413,7887,8817,9024,6516,6738,6579
"ENSMUSG00000003166",3058,2204,940,846,2228,1595,2193,1828,2055,2203,2419,1583,1930,1949
"ENSMUSG00000003178",52,33,41,14,74,9,97,39,87,59,84,72,108,44
"ENSMUSG00000003184",2587,1915,1075,1108,1377,862,1032,1565,1614,1654,1583,1379,1400,1510
"ENSMUSG00000003190",339,279,130,164,190,122,173,282,175,221,237,138,167,183
"ENSMUSG00000003198",143,130,59,106,152,93,183,120,109,140,118,60,119,81
"ENSMUSG00000003199",2837,2099,1749,1607,1765,927,1186,1805,1705,2033,1766,1341,1396,1460
"ENSMUSG00000003200",1365,1129,580,424,1008,454,911,733,928,1162,1149,889,950,909
"ENSMUSG00000003206",3,1,8,4,2,7,10,2,2,2,3,2,0,2
"ENSMUSG00000003208",280,260,153,114,239,131,162,103,193,184,216,151,198,151
"ENSMUSG00000003226",1785,1435,930,462,2777,3007,3766,1737,2445,2103,2708,3225,2764,2502
"ENSMUSG00000003227",2,0,0,0,0,0,0,6,1,0,0,0,1,0
"ENSMUSG00000003228",130,122,61,46,124,83,151,105,129,121,140,127,139,100
"ENSMUSG00000003233",691,445,388,161,749,550,748,434,568,599,767,521,699,519
"ENSMUSG00000003234",1264,944,519,390,1021,652,857,982,1011,986,1013,1001,995,987
"ENSMUSG00000003235",1785,1356,767,566,1431,941,1603,1056,1452,1401,1500,1355,1372,1372
"ENSMUSG00000003269",1797,1985,764,753,1522,846,1111,1276,1322,1365,1497,972,1127,1038
"ENSMUSG00000003271",719,754,696,300,543,215,512,794,496,522,659,199,374,340
"ENSMUSG00000003273",29,14,17,27,9,2,26,12,22,8,18,6,11,17
"ENSMUSG00000003279",35,12,4,9,5,11,16,2,13,12,7,5,10,7
"ENSMUSG00000003282",9,7,15,0,18,18,34,8,65,15,31,6,18,15
"ENSMUSG00000003283",287,134,128,91,135,55,100,142,163,178,209,114,96,96
"ENSMUSG00000003299",1937,1576,618,660,1348,565,1201,1341,1408,1446,1397,1001,1111,1131
"ENSMUSG00000003308",2053,1656,791,616,1525,973,1503,1355,1748,1678,1882,1444,1749,1635
"ENSMUSG00000003309",4449,3980,1712,1619,3793,2212,3106,3254,3556,3471,3618,3329,2968,3310
"ENSMUSG00000003316",2100,1924,1090,520,2952,2274,3956,1302,2444,2100,3092,1913,2596,2123
"ENSMUSG00000003341",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003344",1864,1550,982,914,1313,630,1120,868,1166,1162,1299,827,982,987
"ENSMUSG00000003345",5880,4926,3517,2814,4534,2539,3382,4001,3973,4612,4679,2708,3890,3398
"ENSMUSG00000003346",3051,2676,1327,1215,2111,1009,2221,1926,2226,2652,2382,1622,1913,1935
"ENSMUSG00000003348",115,110,27,20,126,85,199,60,165,121,156,146,188,154
"ENSMUSG00000003352",1683,1499,1217,1058,944,763,924,1126,982,1331,1534,986,1260,1117
"ENSMUSG00000003354",2,4,0,0,3,0,1,0,0,4,3,1,2,0
"ENSMUSG00000003355",436,253,259,245,345,211,264,593,358,410,337,353,343,375
"ENSMUSG00000003360",2328,1946,1034,858,1931,1120,1552,1388,1726,1795,1968,1501,1634,1637
"ENSMUSG00000003363",1087,1086,397,317,905,524,885,869,818,882,886,649,853,734
"ENSMUSG00000003378",437,294,387,476,196,104,137,423,146,171,152,67,124,93
"ENSMUSG00000003379",11,9,0,4,10,0,5,14,0,3,3,0,7,3
"ENSMUSG00000003380",2598,1870,715,770,1510,492,1085,1589,1584,1419,1425,1387,1177,1283
"ENSMUSG00000003382",1583,1662,651,319,1581,1036,1814,1006,1838,1594,1921,1588,1695,1429
"ENSMUSG00000003402",5614,4395,2068,1960,3973,2075,3319,3766,3585,3793,4330,2182,2994,2961
"ENSMUSG00000003410",1,0,0,2,1,0,1,7,6,0,0,4,2,0
"ENSMUSG00000003411",51,179,32,81,68,15,29,38,249,120,165,30,46,46
"ENSMUSG00000003418",6,0,3,0,0,0,4,0,0,0,0,0,4,0
"ENSMUSG00000003420",1463,1440,580,570,815,710,1015,1577,1325,1430,1214,937,1048,1026
"ENSMUSG00000003421",1429,1275,690,489,1116,625,898,828,1044,966,1012,860,876,875
"ENSMUSG00000003423",1488,1104,646,774,1039,442,650,1008,815,869,912,544,650,677
"ENSMUSG00000003429",22089,19116,13540,12555,14755,8860,10456,14782,12970,16389,14463,9300,11156,10869
"ENSMUSG00000003435",2943,2414,1573,1304,2402,1410,2555,2339,2373,2594,2769,1972,2395,2084
"ENSMUSG00000003436",7,11,0,0,12,6,4,11,1,2,6,3,12,2
"ENSMUSG00000003437",1805,1319,1011,892,1235,779,1018,1613,1064,1359,1232,856,922,948
"ENSMUSG00000003438",2152,1540,860,904,1285,675,1328,1199,1478,1430,1522,1190,1139,1323
"ENSMUSG00000003444",408,260,299,155,289,187,222,288,272,280,309,332,250,276
"ENSMUSG00000003452",171,157,106,52,264,383,375,161,197,201,195,270,182,193
"ENSMUSG00000003458",3810,3916,1434,943,3729,3061,5402,2594,3029,3195,3822,2687,3143,2938
"ENSMUSG00000003464",1705,1613,712,502,1376,960,1467,1184,1601,1457,1568,1307,1381,1453
"ENSMUSG00000003469",0,0,0,5,0,0,1,9,1,0,0,1,0,0
"ENSMUSG00000003476",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003477",0,2,3,1,0,0,2,0,0,0,2,0,0,0
"ENSMUSG00000003484",0,0,5,1,6,0,0,0,0,13,0,0,2,0
"ENSMUSG00000003500",999,526,281,292,650,328,613,558,613,617,610,454,641,626
"ENSMUSG00000003505",0,1,0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000003518",603,451,294,179,505,408,610,328,387,554,606,563,720,660
"ENSMUSG00000003526",730,499,332,326,426,307,532,359,580,523,667,463,522,557
"ENSMUSG00000003527",534,464,293,298,416,257,383,417,435,361,371,294,339,311
"ENSMUSG00000003528",4165,3442,1815,1405,3414,2122,3481,3628,3294,3538,4036,2522,3417,3352
"ENSMUSG00000003531",1139,777,488,468,523,343,318,676,548,609,624,363,454,472
"ENSMUSG00000003534",4142,4196,1457,909,3379,1914,2882,2241,3388,3152,4155,2422,3155,2779
