gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000000416,433,436,446,633,286,418,262,221,331,247,272,235
ENSMUSG00000000420,2128,1816,746,2500,1861,3076,2301,2003,2403,2315,2171,2077
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,370,324,151,396,219,435,297,274,353,290,324,280
ENSMUSG00000000440,1475,1331,574,1153,864,1658,1671,1376,1512,1419,1357,1592
ENSMUSG00000000441,3115,2602,1226,2473,1924,2850,2407,2436,2477,2102,2172,2166
ENSMUSG00000000486,96,52,100,81,33,50,41,65,87,43,57,61
ENSMUSG00000000489,90,175,29,70,67,57,55,104,46,39,105,128
ENSMUSG00000000530,172,205,77,95,111,148,172,170,167,117,127,177
ENSMUSG00000000531,248,128,153,163,106,92,104,97,111,97,168,137
ENSMUSG00000000532,1759,1644,580,1450,1486,2113,1889,1839,2411,1608,2072,1765
ENSMUSG00000000538,1601,1467,914,1128,811,1317,1254,1260,1347,740,967,850
ENSMUSG00000000544,17259,17177,7539,14840,10065,17368,16388,17249,19826,13471,14009,13497
ENSMUSG00000000552,37,36,25,24,7,22,12,25,19,11,37,16
ENSMUSG00000000555,486,415,340,391,318,355,523,669,574,394,396,359
ENSMUSG00000000560,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,948,707,520,781,646,1138,703,745,817,739,742,759
ENSMUSG00000000562,3,5,5,0,0,5,6,3,3,3,3,1
ENSMUSG00000000563,10958,10083,3582,9880,6941,8134,9261,9000,9219,11699,7571,9204
ENSMUSG00000000567,2845,1804,1359,2759,2096,2701,1576,1761,2324,1581,2057,1810
ENSMUSG00000000568,3796,3813,1831,3379,3164,3982,3396,3592,4527,2412,3464,3224
ENSMUSG00000000579,45,2,3,11,5,6,4,4,14,5,8,6
ENSMUSG00000000581,1050,893,418,957,989,964,867,929,830,1230,769,922
ENSMUSG00000000594,720,798,357,635,257,511,353,433,567,372,320,436
ENSMUSG00000000600,714,452,377,600,630,683,595,645,606,556,530,478
ENSMUSG00000000605,2204,1753,1253,2044,1632,2239,1852,1924,1990,1656,1655,1557
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000000627,5,21,0,4,0,8,7,6,9,6,3,0
ENSMUSG00000000628,5809,4249,2517,4451,3370,9135,5778,7983,7490,5426,6439,5004
ENSMUSG00000000631,5321,4595,3051,3759,2688,4538,4864,5451,6483,3214,4768,3953
ENSMUSG00000000632,3,0,0,6,0,10,1,0,0,0,3,0
ENSMUSG00000000673,18,1,10,7,10,4,5,10,1,3,6,6
ENSMUSG00000000682,109,64,15,42,49,40,32,66,71,64,46,62
ENSMUSG00000000686,3,0,0,2,0,1,3,5,9,4,0,3
ENSMUSG00000000690,2417,1037,510,322,782,423,807,539,433,472,607,622
ENSMUSG00000000693,42,4,4,10,20,5,15,16,23,13,21,13
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000702,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,26,34,31,57,17,39,66,75,70,86,57,63
ENSMUSG00000000708,878,917,446,1068,743,1262,936,975,1023,939,825,804
ENSMUSG00000000711,1621,1642,695,1552,977,1529,1530,1621,1696,1314,1454,1380
ENSMUSG00000000724,1,0,0,0,5,2,1,6,0,5,2,0
ENSMUSG00000000730,4,0,0,0,0,0,0,0,0,1,0,1
ENSMUSG00000000731,5,21,4,3,4,13,0,5,8,3,6,4
ENSMUSG00000000732,289,219,163,178,120,265,181,252,261,154,236,219
ENSMUSG00000000738,3284,2561,1637,2445,1565,2408,2524,2119,2220,1966,1703,1832
ENSMUSG00000000739,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000740,34782,28501,23336,25572,15171,15782,20380,24315,20322,20246,17844,19160
ENSMUSG00000000743,6099,6012,2960,5027,2223,4315,4921,5311,5554,4003,4095,4153
ENSMUSG00000000751,1592,972,546,1160,1082,1491,1114,1027,1361,1048,1093,1066
ENSMUSG00000000753,0,2,0,1,0,1,4,3,2,0,0,2
ENSMUSG00000000759,1315,1006,637,992,788,1271,1087,993,898,897,978,897
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000000776,616,421,324,526,424,375,487,519,466,367,507,468
ENSMUSG00000000782,181,96,133,141,122,69,80,92,136,65,82,108
ENSMUSG00000000787,6425,5149,3276,8648,6831,12151,6701,6738,7982,8347,6818,6653
ENSMUSG00000000791,20,23,0,1,6,10,6,17,30,21,36,20
ENSMUSG00000000792,15,12,15,6,23,22,11,20,15,14,21,11
ENSMUSG00000000794,0,1,0,0,0,0,2,1,0,0,0,0
ENSMUSG00000000804,670,642,267,774,567,1051,739,812,890,773,787,654
ENSMUSG00000000805,10790,11578,5947,6065,4871,9371,8600,11938,8942,4674,4795,3223
ENSMUSG00000000811,197,274,155,351,135,281,296,236,247,201,270,257
ENSMUSG00000000817,12,0,8,0,9,6,3,11,9,4,6,9
ENSMUSG00000000823,483,573,226,457,292,470,477,520,567,347,489,421
ENSMUSG00000000826,2958,2767,1220,2881,2019,3646,2862,2967,3316,2331,2944,2470
ENSMUSG00000000827,1299,1189,643,1129,898,910,1045,1116,969,1110,1096,952
ENSMUSG00000000838,1364,1151,580,1761,1397,2114,1551,1496,1650,1442,1324,1386
ENSMUSG00000000861,310,238,137,264,253,359,186,213,276,223,328,218
ENSMUSG00000000869,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000876,1003,1047,451,697,510,685,712,755,908,499,634,619
ENSMUSG00000000881,1846,1915,952,1535,920,1347,1431,1745,1617,1240,1308,1267
ENSMUSG00000000884,106,73,36,69,57,68,50,74,73,60,62,92
ENSMUSG00000000889,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000000901,22,7,0,7,8,4,5,2,23,4,6,4
ENSMUSG00000000902,2265,1763,1177,1594,1364,1627,1739,1719,1799,1150,1474,1419
ENSMUSG00000000903,3,1,0,0,0,2,1,0,0,1,2,1
ENSMUSG00000000915,3397,2702,1569,2469,2009,2608,3112,3375,3349,3014,2996,2711
